,loggingTime(txt),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
513,17.330000000000002,0.4946616590023041,-0.3095141649246216,-2.939454555511475,0.7915496826171875,-0.5404205322265625,-0.0983123779296875
514,17.37,0.4911343157291412,-0.4400711357593536,-3.284127950668335,0.8476715087890625,-0.450164794921875,-0.12982177734375
515,17.400000000000002,0.5002047419548035,-0.3466130793094635,-2.525355815887451,0.9044647216796876,-0.3551483154296875,-0.0634765625
516,17.43,0.3167228102684021,-0.2857092320919037,-2.065158128738403,0.989471435546875,-0.2381591796875,-0.1055755615234375
517,17.479000000000003,0.3167228102684021,-0.2857092320919037,-2.065158128738403,1.024917602539062,-0.247955322265625,-0.125762939453125
518,17.5,0.3006884753704071,-0.0462681613862514,-1.650479197502136,0.9391021728515624,-0.26275634765625,-0.1176300048828125
519,17.547,0.2285511493682861,-0.0060381852090358,-0.5524975061416626,0.9720306396484376,-0.1275634765625,-0.08026123046875
520,17.57,0.0816240236163139,-0.06081248447299,-0.1471367180347443,0.947479248046875,-0.1134185791015625,-0.1420745849609375
521,17.61,0.2070399969816208,-0.0201417542994022,-0.1212811544537544,1.021560668945312,-0.18609619140625,-0.1256103515625
522,17.64,0.2171315103769302,0.0710089281201362,-0.0923248678445816,1.041290283203125,-0.1301727294921875,-0.1089324951171875
523,17.67,0.0338154882192611,0.09872417896986,0.1143398880958557,1.029464721679688,-0.10577392578125,-0.1041259765625
524,17.700000000000003,-0.0270052514970302,0.086065374314785,0.6818289160728455,1.017196655273438,-0.1550140380859375,-0.1164398193359375
525,17.740000000000002,0.0628687143325805,0.2007139325141907,1.241083383560181,1.062118530273438,-0.1999053955078125,-0.097686767578125
526,17.791,0.0622468627989292,0.2496851980686188,1.115113496780396,1.041793823242188,-0.1891937255859375,-0.0809783935546875
527,17.8,-0.0596428252756595,0.1764677166938782,0.5353531837463379,0.96600341796875,-0.1901092529296875,-0.1140899658203125
528,17.848000000000003,-0.0197763685137033,0.1406647115945816,0.7598562836647034,0.9201812744140624,-0.2908477783203125,-0.0858917236328125
529,17.87,0.0921243354678154,0.2049619406461716,2.04071569442749,0.9059906005859376,-0.369171142578125,-0.05914306640625
530,17.91,0.1945492476224899,0.2666471302509308,3.111376762390137,0.94189453125,-0.424041748046875,-0.0738677978515625
531,17.941000000000003,0.287510871887207,0.4044633209705353,3.66921854019165,0.9021453857421876,-0.4606170654296875,-0.050384521484375
532,17.970000000000002,0.2112949341535568,0.3778626024723053,3.026397705078125,0.8886871337890625,-0.487945556640625,-0.0342559814453125
533,18.029,0.3028815686702728,0.8380560278892517,2.667395114898682,0.7580413818359375,-0.6437530517578125,0.04730224609375
534,18.040000000000003,0.4664870202541351,0.7550695538520813,2.762673616409302,0.7183380126953125,-0.6905059814453125,-0.0709381103515625
535,18.080000000000002,0.4664870202541351,0.7550695538520813,2.762673616409302,0.5682373046875,-0.82958984375,0.02398681640625
536,18.111,0.2533864676952362,0.6147974133491516,3.164611577987671,0.669403076171875,-0.8302154541015625,0.0352630615234375
537,18.148,0.0068893311545252,0.6645960807800293,3.174806594848633,0.48443603515625,-0.834625244140625,0.0207977294921875
538,18.181,-0.1010203585028648,0.5538988709449768,3.479774236679077,0.3007354736328125,-0.9178314208984376,0.0431060791015625
539,18.211000000000002,-0.1227898374199867,0.5266307592391968,3.854746580123901,0.239776611328125,-0.9625396728515624,0.0597381591796875
540,18.241,-0.1227898374199867,0.5266307592391968,3.854746580123901,0.1828765869140625,-0.997802734375,0.0566558837890625
541,18.281000000000002,-0.4468496739864349,0.5617365837097168,4.338310718536377,0.0007781982421875,-1.044235229492188,0.0590362548828125
542,18.329,-0.1646158397197723,0.5663896203041077,4.127986431121826,-0.0992431640625,-0.9943389892578124,0.04595947265625
